Fixture
Fulham12:30Chelsea
AFC Bournemouth15:00Brighton & Hove Albion
Leicester City15:00Aston Villa
Liverpool15:00Wolverhampton Wanderers
Southampton15:00Brentford
Manchester City17:30Tottenham Hotspur
Arsenal14:00Everton
West Ham United14:00Newcastle United
Crystal Palace16:30Manchester United
Leeds United20:00Nottingham Forest
Aston Villa20:00Southampton
Nottingham Forest20:00Fulham
Wolverhampton Wanderers12:30Manchester City
Brighton & Hove Albion15:00Crystal Palace
Newcastle United15:00AFC Bournemouth
Tottenham Hotspur17:30Leicester City
Brentford14:00Arsenal
Everton14:00West Ham United
Manchester United14:00Leeds United
Chelsea16:30Liverpool
Arsenal12:30Tottenham Hotspur
AFC Bournemouth15:00Brentford
Crystal Palace15:00Chelsea
Fulham15:00Newcastle United
Liverpool15:00Brighton & Hove Albion
Southampton15:00Everton
West Ham United17:30Wolverhampton Wanderers
Manchester City14:00Manchester United
Leeds United16:30Aston Villa
Leicester City20:00Nottingham Forest
AFC Bournemouth15:00Leicester City
Chelsea15:00Wolverhampton Wanderers
Manchester City15:00Southampton
Newcastle United15:00Brentford
Brighton & Hove Albion17:30Tottenham Hotspur
Crystal Palace14:00Leeds United
West Ham United14:00Fulham
Arsenal16:30Liverpool
Everton19:00Manchester United
Nottingham Forest20:00Aston Villa
Brentford20:00Brighton & Hove Albion
Leicester City12:30Crystal Palace
Fulham15:00AFC Bournemouth
Wolverhampton Wanderers15:00Nottingham Forest
Tottenham Hotspur17:30Everton
Aston Villa14:00Chelsea
Leeds United14:00Arsenal
Manchester United14:00Newcastle United
Southampton14:00West Ham United
Liverpool16:30Manchester City
Brighton & Hove Albion19:30Nottingham Forest
Crystal Palace20:15Wolverhampton Wanderers
Arsenal19:30Manchester City
AFC Bournemouth19:30Southampton
Brentford19:30Chelsea
Liverpool19:30West Ham United
Newcastle United19:30Everton
Manchester United20:15Tottenham Hotspur
Fulham19:30Aston Villa
Leicester City20:15Leeds United
Nottingham Forest12:30Liverpool
Everton15:00Crystal Palace
Manchester City15:00Brighton & Hove Albion
ChelseaTBCTo be ConfirmedManchester United
Tottenham Hotspur17:30Newcastle United
Aston Villa14:00Brentford
Leeds United14:00Fulham
Southampton14:00Arsenal
Wolverhampton Wanderers14:00Leicester City
West Ham United20:00AFC Bournemouth
Leicester City12:30Manchester City
LiverpoolTBCTo be ConfirmedLeeds United
AFC Bournemouth15:00Tottenham Hotspur
Brentford15:00Wolverhampton Wanderers
Brighton & Hove Albion15:00Chelsea
Crystal Palace15:00Southampton
Newcastle United15:00Aston Villa
Fulham17:30Everton
Arsenal14:00Nottingham Forest
Manchester United16:30West Ham United
Aston Villa15:00Manchester United
Chelsea15:00Arsenal
Everton15:00Leicester City
Leeds United15:00AFC Bournemouth
Manchester City15:00Fulham
Nottingham Forest15:00Brentford
Southampton15:00Newcastle United
Tottenham Hotspur15:00Liverpool
West Ham United15:00Crystal Palace
Wolverhampton Wanderers15:00Brighton & Hove Albion
AFC Bournemouth15:00Everton
Brighton & Hove Albion15:00Aston Villa
Fulham15:00Manchester United
Liverpool15:00Southampton
Manchester City15:00Brentford
Newcastle United15:00Chelsea
Nottingham Forest15:00Crystal Palace
Tottenham Hotspur15:00Leeds United
West Ham United15:00Leicester City
Wolverhampton Wanderers15:00Arsenal
