assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,yellow_cards,player_name_id_x,position,date,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,team_name,conceded,h_a,xG_team,xGA,npxG_team,npxGA,scored,missed,pts,npxGD,conceded_team,rolling_team_pts,diff_team_xG,diff_team_xGA,diff_team_scored,diff_team_missed,diff_team_conceded,diff_team_pts,attack_overall,defence_overall,attack_difficulty,defence_difficulty,opposition_attack_difficulty,opposition_defence_difficulty
0.0,0.0,0.0,2.0,0.0,90.0,Liverpool,0.0,0.0,0.0,0.0,11,0.0,1.0,0.0,Aaron_Cresswell_411,def,2021-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.1231859922409057,0.1231859922409057,West Ham,2.0,h,1.25298,1.45641,1.25298,1.45641,3.0,2.0,3.0,-0.20343,2.0,2.4,-0.14732800000000035,0.05194199999999993,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.0,2.810898,1.9942608,5,4,5.0,3.0
0.0,0.0,0.0,1.0,0.0,90.0,Wolverhampton Wanderers,0.0,0.0,0.0,0.0,12,0.0,2.0,0.0,Aaron_Cresswell_411,def,2021-11-20,0.0,0.0,0.1849814653396606,2.0,0.0,0.0,0.2124959528446197,0.1236433163285255,West Ham,1.0,a,0.436331,1.31903,0.436331,1.31903,0.0,1.0,0.0,-0.8826989999999999,1.0,2.4,-0.18724980000000002,0.003610000000000002,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.0,2.6236482,1.7978708,5,5,4.0,3.0
0.0,0.0,0.0,1.0,0.0,60.0,Manchester City,0.0,0.0,0.0,0.0,13,0.0,2.0,0.0,Aaron_Cresswell_411,def,2021-11-28,1.0,0.0612287782132625,0.0,0.0,0.0,0.0612287782132625,0.0,0.0,West Ham,2.0,a,0.171763,2.72187,0.171763,2.72187,1.0,2.0,0.0,-2.550107,2.0,1.8,-0.3717153999999998,0.373541,0.0,0.3999999999999999,0.3999999999999999,-0.5999999999999999,1.8519328000000004,2.5714118,4,4,5.0,5.0
0.0,0.0,1.0,0.0,0.0,90.0,Norwich,0.0,0.0,0.0,0.0,21,0.0,6.0,0.0,Aaron_Cresswell_411,def,2022-01-12,0.0,0.0,0.0847731754183769,1.0,0.0,0.0,2.629081964492798,2.629081964492798,West Ham,0.0,h,2.89217,0.343347,2.89217,0.343347,2.0,0.0,3.0,2.548823,0.0,1.8,0.3786714,-0.0409326000000001,0.40000000000000013,0.0,0.0,0.40000000000000013,2.5681550000000004,3.2441874,4,2,1.0,1.0
1.0,2.0,0.0,3.0,0.0,90.0,Leeds,0.0,0.0,0.0,0.0,22,0.0,6.0,0.0,Aaron_Cresswell_411,def,2022-01-16,0.0,0.0,1.0298038721084597,5.0,0.0,0.0,0.147820770740509,0.0519036017358303,West Ham,3.0,h,2.3549,2.26884,2.3549,2.26884,2.0,3.0,0.0,0.0860600000000002,3.0,1.8,0.4032089999999997,-0.10919599999999985,0.3999999999999999,0.19999999999999996,0.19999999999999996,0.0,3.1713639999999996,3.3349914,5,3,2.0,1.0
0.0,0.0,0.0,1.0,0.0,90.0,Manchester United,0.0,0.0,0.0,0.0,23,0.0,2.0,0.0,Aaron_Cresswell_411,def,2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,1.0,a,0.238027,1.75857,0.238027,1.75857,0.0,1.0,0.0,-1.520543,1.0,1.8,-0.2598845999999999,0.08042799999999994,-0.3999999999999999,-0.40000000000000013,-0.40000000000000013,0.0,2.9114793999999997,3.0154194,5,3,4.0,4.0
0.0,2.0,1.0,0.0,0.0,90.0,Watford,0.0,0.0,0.0,0.0,24,0.0,8.0,0.0,Aaron_Cresswell_411,def,2022-02-08,0.0,0.0,0.042860709130764,1.0,0.0,0.0,0.5236538052558899,0.5236538052558899,West Ham,0.0,h,0.905143,0.335474,0.905143,0.335474,1.0,0.0,3.0,0.569669,0.0,1.8,-0.3871393999999997,-0.1357651999999998,-0.6000000000000001,-0.19999999999999996,-0.19999999999999996,0.0,2.12434,2.6796542,5,3,1.0,4.0
0.0,0.0,0.0,2.0,0.0,90.0,Leicester,0.0,0.0,0.0,0.0,25,0.0,0.0,1.0,Aaron_Cresswell_411,def,2022-02-13,1.0,0.0850310921669006,0.0,0.0,0.0,0.0850310921669006,0.0850310921669006,0.0,West Ham,2.0,a,0.745068,1.40693,0.745068,0.645761,2.0,2.0,1.0,0.0993069999999999,2.0,1.4,-0.29727840000000016,-0.2570220000000001,-0.20000000000000018,0.0,0.0,-0.40000000000000013,1.6270616,2.4226322,4,3,2.0,1.0
1.0,3.0,0.0,1.0,0.0,90.0,Newcastle United,0.0,0.0,0.0,0.0,26,0.0,8.0,0.0,Aaron_Cresswell_411,def,2022-02-19,1.0,0.0328516624867916,0.2857052981853485,1.0,0.0,0.0328516624867916,0.0958693176507949,0.0958693176507949,West Ham,1.0,h,0.847948,0.932574,0.847948,0.932574,1.0,1.0,1.0,-0.0846259999999999,1.0,1.0,-0.4088444,0.11784539999999999,-0.19999999999999996,0.19999999999999996,0.19999999999999996,-0.3999999999999999,0.8182171999999999,2.7404776,3,2,4.0,5.0
0.0,1.0,1.0,0.0,0.0,90.0,Wolverhampton Wanderers,0.0,0.0,0.0,0.0,27,0.0,7.0,0.0,Aaron_Cresswell_411,def,2022-02-27,1.0,0.0752946883440017,0.0185335129499435,1.0,0.0,0.0752946883440017,0.0317711867392063,0.0317711867392063,West Ham,0.0,h,1.62241,0.892018,1.62241,0.892018,1.0,0.0,3.0,0.7303919999999999,0.0,1.6,-0.14649800000000002,-0.27536439999999995,-0.19999999999999996,-0.5999999999999999,-0.5999999999999999,0.6000000000000001,1.0717192,1.8651132000000001,3,4,2.0,3.0
