,mean_baseline,lr,lr_pca,ridge,ridge_pca,dt,dt_pca,rf,rf_pca
mae,2.324124550900857,2.2161053807382576,2.222628605675732,2.2001462346766005,2.226866500549473,1.9158050221565732,1.9039881831610044,2.319647191101884,2.3107525370731716
r2,0.0,0.078383196749919,0.0826749332113906,0.094873451034535,0.0837366640193963,-0.0817237510700477,-0.13213797708680697,0.05731759429554595,0.039873577940296334
