,baseline_posn,lr_posn,lr_pca_posn,lr_full,lr_pca_full,ridge_posn,ridge_pca_posn,ridge_full,ridge_pca_full,dt_posn,dt_posn_pca,dt_full,dt_full_pca,rf_posn,rf_posn_pca,rf_full,rf_full_pca
mae,2.051064948123772,2.0793602323437264,1.9962359585571363,2.0384267094978594,2.0181399347310998,1.9973788956486815,1.999222646005248,2.010943610661023,2.021214519290908,1.6454545454545455,1.6757575757575758,1.706060606060606,1.6636363636363636,2.057168783789728,2.0481988900880213,2.15528176442289,2.0666288108387314
r2,0.0,0.032494031452635,0.0838044608099418,0.0653470008227147,0.0814563276053969,0.0807918305217414,0.0881265026373272,0.0845138663341593,0.0834350733653807,-0.08479531025570153,-0.021531640593069,-0.08158395646572014,-0.034055920373996296,0.07200238170468232,0.0838111102578104,0.04577879902675219,0.066694289298319
